sentence,hotel_name,Sentiment
 the room is clean and overall services are good,Hotel A,positive
beautiful place,Hotel A,positive
the christmas decors and outdoor pool arena were amazing 👏,Hotel A,positive
it's a really cool place to be,Hotel A,positive
" i went there for a concert; the security, the hall, food everything was top notch",Hotel A,positive
eko garden suite if you aren't staying in signature may work better,Hotel A,positive
 some of the rooms seem newly renovated so it had a bright clean feel to it,Hotel A,positive
been here for 4 weeks its warm reception and superb service,Hotel A,positive
by now everyone knows eko hotel means business and its not just hype so,Hotel A,neutral
", if you ever have their kind of money, stay a night",Hotel A,neutral
 absolutely beautiful place,Hotel A,positive
signature lagos hotel,Hotel A,neutral
 property has a lovely but expensive rooftop restaurant with stunning views of the city and the waterside,Hotel A,positive
 great conference venue as well,Hotel A,positive
"beautiful scenery, great ambience, beautiful decor, large beautiful suites, well mannered staff, excellent service, great food, safe and secure environment",Hotel A,positive
it's a wonderful place with beautiful views,Hotel A,positive
 the meal was delicious,Hotel A,positive
 the halls are big and well lit,Hotel A,positive
eko hotel is a nice & serene place but need to embrace sustainable practices,Hotel A,positive
 also seen mosquitoes flying around the conference hall and flies at the dining isn't acceptable,Hotel A,negative
"the best place to host events, might not be my first choice to sleepover at, but their event center is nice",Hotel A,positive
"nice place, nice buffet but could be better if there are more meal varieties",Hotel A,positive
it's maintained high standards over the years,Hotel A,neutral
"  the hotel is still one of the best, most sought out, and booked for events till today",Hotel A,positive
eko hotel in lagos nigeria is most happening place,Hotel A,neutral
 the sunday buffet is brilliant and worth eating,Hotel A,positive
 the bar counter in front of swimming pool is really relaxing,Hotel A,positive
 the rooms in original old towers are spacecious but furniture are poor quality and wash rooms badly need renovations,Hotel A,negative
" however, if i have to choose a place to live, it will be eco hotel",Hotel A,neutral
i like eko hotels n suites because of its proximity with everything that is lagos,Hotel A,positive
" at eko hotels you can have or do anything you wanna have or do in lagos, it may cost higher but the marginal comfort relative to other lagos hotels could be great",Hotel A,positive
 topnotch location,Hotel A,neutral
" room was neat, good gym and pool",Hotel A,positive
" breakfast buffet excellent, a lot is going on in this place (bars, restaraunts, clubs, concerts",Hotel A,positive
"), nice outdoor area, very safe - you can walk around, internet is ok but sometimes a bit slow",Hotel A,positive
it's a cool relax centre to be,Hotel A,positive
"organized, smart guys at the reception for easy direction",Hotel A,positive
 comfortable conference halls,Hotel A,positive
 car park a bit tight to maneuver when leaving,Hotel A,neutral
cool and calm good security and hospitable,Hotel A,positive
"as always, excellent service, top notch gym facility, superb view and ambience",Hotel A,positive
" but the pricing though, definitely for the elite",Hotel A,positive
"lovely place, sereen environment, good food,  good hospitality",Hotel A,positive
 home away from home,Hotel A,neutral
 i strongly recommend it to anyone,Hotel A,positive
"i love it!!!! serene, clean environment, very tourist friendly, polite staff etc",Hotel A,positive
again the night life and buffet is very nice,Hotel A,positive
the parking arrangement is excellent,Hotel A,positive
 the set up makes it so convenient for you if you're driving to the premises,Hotel A,neutral
2bd time of coming here for a corporate dinner,Hotel A,neutral
" good venue, but the meal is not great",Hotel A,negative
 eko hotels can do better on that,Hotel A,positive
"such a lovely place, very friendly and efficient staff",Hotel A,positive
 the room was neat and beautiful and everything actually works,Hotel A,positive
good place to leave,Hotel A,positive
the signature has unique and couture designs and fittings,Hotel A,neutral
 the barbeque night on fridays is worth a visit; lots of food and a complimentary drink,Hotel A,positive
it's ok,Hotel A,positive
 i'm comfortable going for work-related events there cos the restrooms are constantly cleaned,Hotel A,positive
nice and tasteful,Hotel A,positive
courteous and professional services too,Hotel A,positive
navigation to (and around) the facilities can be daunting though,Hotel A,neutral
great event center,Hotel A,positive
still as beautiful and as clean as ever,Hotel A,positive
 ever  serene environment,Hotel A,positive
 courteous staff,Hotel A,positive
"great atmosphere, had difficulty using the elevator, wasn't easy moving arround as i had to keep asking plus food in the red (chinese) restaurant could have been better",Hotel A,positive
"eko hotel and suite is a well rated hotel on lagos island , it has different multi purpose halls which can host events such as weddings, shows, seminars etc",Hotel A,positive
" eko hotel and suite is an exotic hotel with a bar, swimming pool, massive car park, space, restaurants, lounge etc",Hotel A,neutral
"their rooms are spacious , clean with good facilities to cater for guest",Hotel A,positive
 the rooms compromises of smaller rooms to presidential suites etc,Hotel A,neutral
"had dinner with some friends at the red chinese restaurant - beautiful ambiance, lovely meals, and enjoyed great service",Hotel A,positive
oneof the best 5 star hotels in nigeria,Hotel A,positive
 it has held several top class event and it's still one of the best till date,Hotel A,positive
awesome place,Hotel A,positive
 everything was beautiful,Hotel A,positive
 had a wonderful time,Hotel A,positive
"obviously set up as a luxurious spot for relaxation, business and a list gatherings or events",Hotel A,positive
 attentive staff and great food,Hotel A,positive
only wish the rooms were cheaper!!!,Hotel A,positive
"it has the best event facility, good accommodation,and exquisite customer care",Hotel A,positive
 wonderful place to be for a vacation,Hotel A,positive
enjoyed my stay at the new eko garden this time aroundeko hotel for me is still the place to beat,Hotel A,positive
 first class experience all day,Hotel A,neutral
truly hospitable,Hotel A,positive
good and delicious food: both local and continental!choice environment,Hotel A,positive
!,Hotel A,neutral
"one of the biggest spaces, if not the biggest space, to have an event",Hotel A,neutral
l with over 10k capacity,Hotel A,positive
it's one of the best hotel i have ever been to,Hotel A,positive
 lots of parking space,Hotel A,neutral
 the event hall is killing and the rooms are well equipped and organized,Hotel A,negative
attended the buffet meal offer at eko hotel,Hotel A,neutral
 there was so many food and drink offer you won't be left without choice,Hotel A,neutral
i wanted to book some other wing not the gardens,Hotel A,neutral
" unfortunately, my secretary mixed it up, and i couldn't change when i got here",Hotel A,negative
"it is an amazing place with lovely suites various intercontinental restaurants, event center, excellent parking space and a serene environment",Hotel A,positive
eko hotel is highly over rated! it's divided into 3,Hotel A,neutral
" the main block, signature and gardens",Hotel A,negative
" my brother was checked into the gardens and he had to change room four times!!! apparently, the signature is the newest block",Hotel A,negative
excellent location,Hotel A,positive
" good food, of course not cheap but good quality overall",Hotel A,negative
" good staff , nice location and ok ambience ",Hotel A,positive
this is a very cozy place good for relaxation and events,Hotel A,positive
the meals are great also the staff are well cultured,Hotel A,positive
waow i loved every time spent there,Hotel A,positive
their presidential suites is exquisite,Hotel A,neutral
their service -perfect,Hotel A,positive
the atmosphere- cool,Hotel A,positive
calm and safe,Hotel A,positive
eko hotels and suites brings you to the purest forms of comfort and class,Hotel A,positive
 it's one place anyone in nigeria should desire to spend at least one night in,Hotel A,positive
quite improved compared to last visit,Hotel A,positive
 reception area always rowdy,Hotel A,neutral
nice place and good ambiance,Hotel A,positive
prompt attention to in-house service,Hotel A,neutral
great space,Hotel A,positive
" all you can eat buffet at just 10,000",Hotel A,neutral
 price doesnt include drinks though,Hotel A,neutral
"nice hotel, beautiful view, wonderful customer service",Hotel A,positive
but their food ain't it though,Hotel A,neutral
had an ok sit out,Hotel A,positive
 sometimes live band is annoying,Hotel A,negative
 speakers could be better for the price of food and drinks,Hotel A,positive
this place is a chique place for classes of personnel,Hotel A,neutral
 it offers venues for events and occasions,Hotel A,neutral
 good suites and large rooms can be found at eko hotels for richly-affordable prices,Hotel A,positive
"it's great to be here, good atmosphere, exquisite service",Hotel A,positive
 it's really nice to be here,Hotel A,positive
 the food is world class,Hotel A,neutral
"good ambient, lovely rooms, staffs needs to wait for customers to finish eating before carting everything away",Hotel A,positive
"nice room, great restaurants, spacious office spaces, convention center etc serene and beautiful",Hotel A,positive
 one of the best hotels in nigeria,Hotel A,positive
"nice environment, comfy banquet halls and good cuisine",Hotel A,positive
 parking is a bit difficult but a good place to lodge or attend an event,Hotel A,positive
this place is great,Hotel A,positive
 believe if you are here or plan to be there you will get your worth and remember i said worth,Hotel A,positive
 your pocket decide your experience here,Hotel A,neutral
"quite a lovely place to be, great customer service and above all, the perfect place to host that jaw dropping event",Hotel A,positive
"5star hotel, well organised, maintenance  so good ",Hotel A,positive
very neat,Hotel A,positive
fantastic,Hotel A,positive
wet ,Hotel A,neutral
 yummy 😋😋 ,Hotel A,positive
 dope,Hotel A,neutral
 unique and extraordinary hotels and suites,Hotel A,neutral
available for all things hospitality,Hotel A,neutral
a place to relax and feel at home,Hotel A,positive
i love it,Hotel A,positive
loved it,Hotel A,positive
" serene well kept, high standards",Hotel A,positive
large hall that can seat thousands,Hotel A,neutral
 was impressed,Hotel A,positive
eko hotel maintains the same standard over the years,Hotel A,neutral
 the bar/ restaurant by the pool is serene and still one of my favourite places to relax at in the evenings,Hotel A,positive
awesome experience,Hotel A,positive
 ample parking space,Hotel A,neutral
 courteous staff,Hotel A,positive
 good menu offering,Hotel A,positive
 ample entertainment options,Hotel A,positive
went to the sky lounge,Hotel A,neutral
 food and drinks and entertainment was very nice,Hotel A,positive
a well organised and prestigious place,Hotel A,positive
 well equipped and 24 hours electricity and maintenance,Hotel A,positive
had a really great experience there,Hotel A,positive
it's an experience you can't resist,Hotel A,neutral
its a great hotel to stay in,Hotel A,positive
 i particularly loved the warmth of the pool and the view from the 7th floor balcony at night,Hotel A,positive
eko hotel and suites is a landmark in,Hotel A,positive
"lagos and nigeria,rightly so too i must say",Hotel A,neutral
" its been in victoria island for ages and caters to upper class clientele providing grade a accommodation, room service,internet,full car parking ,a great view and more",Hotel A,positive
very popular hotel on the island located in victoria island,Hotel A,positive
 i have had many trainings here and it was always fun,Hotel A,positive
 i like to visit,Hotel A,positive
dope area,Hotel A,neutral
we had a lovely christmas staycation,Hotel A,positive
 great place for the whole family,Hotel A,positive
"eko hotel was lively and full of fun,is highly recommend🥰🥰",Hotel A,positive
"cool stay place, quite expensive though, but its worth the price, you get the value for your money",Hotel A,positive
"huge premises, lots of event halls, parking and exiting can take a lot of time after big events, so consider leaving a few minutes earlier",Hotel A,positive
"a five star hotel, with international recognition, very big and it can accommodate more than one thousand guest in their rooms, also have a hall that can take up to  people for any occasion and packaging lots is also available",Hotel A,neutral
"a very big casino is also available all night long, drinking bar's is also available",Hotel A,neutral
lovely place to stay in,Hotel A,positive
big and serene place,Hotel A,positive
the ambience is extremely relaxing and the top floors have the most breath-taking and amazing view,Hotel A,positive
 highly recommend this place,Hotel A,positive
it is lovely and amazing ,Hotel A,positive
 nice pool and buffet food sweet but it could  improve i still like the place a lot !,Hotel A,positive
the pool was well maintained and beautiful,Hotel A,positive
security is highly prioritized,Hotel A,positive
 there is plenty of space everywhere,Hotel A,neutral
nice outside view cool place to relax,Hotel A,positive
in the heart of lagos island,Hotel A,positive
 very spacious car park,Hotel A,neutral
 halls for different activities,Hotel A,neutral
 standard hotel,Hotel A,neutral
 fair price,Hotel A,positive
lovely place and excellent service in serene environment,Hotel A,positive
one of the best places you could ever spend your time,Hotel A,positive
" comfortable, excellent and beautiful",Hotel A,positive
very good event service and diverse restaurant options,Hotel A,positive
spent a week here,Hotel A,neutral
 beautiful place and great ambience,Hotel A,positive
 would love to go back there once again,Hotel A,positive
this is unarguably the best hotel in lagos ,Hotel A,positive
 it's been around for years,Hotel A,neutral
 it's a 4 star hotel,Hotel A,neutral
 you can get all you need at this hotel,Hotel A,neutral
 it's home away from home,Hotel A,neutral
was at orchids hall for an exhibition,Hotel A,neutral
 it was cool,Hotel A,positive
 the hall was chilled and nice,Hotel A,positive
 you can even see the stage from upstairs,Hotel A,neutral
"very nice, cozy and warm place",Hotel A,positive
 staff well trained on hospitality,Hotel A,positive
"eko signature rooms are good,  hot water is poor,  tv has bad selection",Hotel A,negative
" eko suites (last building),  water is great,  rooms are hit or miss depending on if refurbished or not",Hotel A,positive
"very very good and neat,with good customers service",Hotel A,positive
best place to chill out in lagos,Hotel A,positive
 parking is no problem,Hotel A,positive
 recommended,Hotel A,positive
good ambience and great hall,Hotel A,positive
 the current renovation a bit push off,Hotel A,neutral
 adequate paying car park space,Hotel A,positive
"i was at eko hotel and suites for a digital conference and even while at the entrance gate, i received a warm reception and direction to where i could find the exact place the conference is holding",Hotel A,positive
"i was at the hall for a comedy show, i must say it was good use of space",Hotel A,positive
 it is very roomy and the air conditioning system is very effective,Hotel A,positive
great place to be,Hotel A,positive
 rates are comparable with other hotels in the area,Hotel A,neutral
 but you have more bang for your money because the place is a beehive of activities,Hotel A,neutral
why will they be collecting money for car park,Hotel A,neutral
 we won't patronize them again,Hotel A,neutral
 when did they start that rubbish,Hotel A,neutral
was at crossroads,Hotel A,neutral
" a lovely environment, security well organized",Hotel A,positive
 you are sure to meet good people in such places,Hotel A,positive
 8/10,Hotel A,neutral
eko hotel is a mega 5 star hotel,Hotel A,neutral
their rooms and food is greaytheir conference hall is spacious and we'll sound proofed,Hotel A,neutral
it's the best hotel in lagos,Hotel A,positive
sky restaurant,Hotel A,neutral
still holds up but in dire need of new ideas and some touch up,Hotel A,negative
eko hotels & suites is a very beautiful place to be for relaxation and education of oneself,Hotel A,positive
 the environment is conducive and you would just want to make it in lifr,Hotel A,positive
the rooms are ok and have a serene ambience,Hotel A,positive
" however, the restaurant services are poor as the waiters are sometimes forgetful of your orders",Hotel A,negative
nice place to be,Hotel A,positive
 very neat environment and highly secured,Hotel A,positive
it's breathtaking and of course the convention center houses the best concerts in lagos,Hotel A,positive
 the food is sumptuous also,Hotel A,neutral
lovely place for a weekend getaway but i would suggest the eko gardens or the signature if you do not like to be disturbed with the noise of events and shows at the eko hotel halls,Hotel A,negative
i loved the pool side,Hotel A,positive
 very relaxing,Hotel A,positive
"such a wonderful placei like the place, like you can make use of the hall for any event no matter the population if your visitors",Hotel A,positive
china home life was an expensive of meeting a lot of china manufactures l am still  looking for satellite internet provider that gives sip broadband at 72mbpsto support my hbbtv ,Hotel A,positive
thanks,Hotel A,positive
friendly environment right from the reception especially at night,Hotel A,positive
lovely room,Hotel A,positive
a serene environment with nice set ups,Hotel A,positive
lekki is a very decent place in lagos and the best event center their is k,Hotel A,positive
f,Hotel A,neutral
a they always wow you !,Hotel A,positive
"i love this place, the walls could use some work but i love it here",Hotel A,positive
courteous staff and great environment,Hotel A,positive
 enjoyed my stay especially having my meals at the 88 restaurant,Hotel A,positive
beautiful place to hang out,Hotel A,positive
nice grounds,Hotel A,positive
"very ambient, comfortable environment",Hotel A,positive
" great place for business, pleasure, relaxation",Hotel A,positive
" great restaurants, good food and wine",Hotel A,positive
always a vibe at eko hotel & suites,Hotel A,neutral
 i think this is because of the individual unique spots that the place had to offer,Hotel A,neutral
spacious and elegant,Hotel A,positive
" great parking space,great bar and easy places outside to sit and relax,and even more cosy place indoors",Hotel A,positive
"this place is 5star hotel, there is swimming pool, room range from presidential suite, affordable price rooms, security is assured, 24 hours power supply, its located in victoria island in lagos, nigeria",Hotel A,positive
nice rooms though views are not great,Hotel A,negative
 nice pool,Hotel A,positive
 good gym and sports facilities,Hotel A,positive
 restaurants are a bit of hit and miss,Hotel A,negative
 good service,Hotel A,positive
"good venue for events like gala, concerts etc",Hotel A,positive
also has lovely bar and swimming pool; gym is quite okay,Hotel A,positive
and the rooms are average,Hotel A,neutral
i had always wanted to see what the hype was all about i did it's a great place wonderful environment,Hotel A,positive
the heineken's design fashion africa show was quite rejuvenating,Hotel A,neutral
only got into a section of the convention center,Hotel A,neutral
 was pretty good,Hotel A,positive
 will post more when i have the luxury of booking a room,Hotel A,neutral
nice place,Hotel A,positive
 many restaurant options,Hotel A,neutral
 good ambience,Hotel A,positive
 big area,Hotel A,neutral
 and most importantly,Hotel A,positive
 nice food,Hotel A,positive
good ambience and wide variety on sunday buffet ,Hotel A,positive
good place to hangout with family over a lazy sunday noon,Hotel A,positive
when it comes to premium hospitality that spans for over forty years,Hotel A,neutral
 this is the place to be,Hotel A,neutral
had a swell time at fidic  africa conference,Hotel A,neutral
"lodged at the gardens, not impressive",Hotel A,negative
 had a leaking roof,Hotel A,neutral
 experienced power outage at some point,Hotel A,neutral
efficiently run outfit,Hotel A,positive
"every service was properly coordinated, the residences were well structured and very comfortable",Hotel A,positive
beautiful places to be,Hotel A,positive
 eat your money yourself,Hotel A,neutral
 😜,Hotel A,neutral
"enjoyed every bit of my stay here, loved the restaurant dinner buffet as well",Hotel A,positive
 hope to return soon,Hotel A,positive
the place is a glamour defined,Hotel A,positive
 the environment is very cozy and exquisite,Hotel A,neutral
 its a lovely place to be and the services are topnotch,Hotel A,positive
hotel grounds were excellent however the facilities in the rooms needed maintenance,Hotel A,positive
" wifi was awful, food was ok",Hotel A,negative
"wide space, lovely four buildings",Hotel A,positive
" nice rooms, wonderful different restaurants",Hotel A,positive
very good and lovely place you can relax ur brain always,Hotel A,positive
"fridge not working,no hair dryer in the bathroom,no extra batteries",Hotel A,neutral
a wonderful place for events hosting relaxation and resting,Hotel A,positive
"  a free place for all asundry located at the centre of victoria island, lagos",Hotel A,positive
 i love eko hotels and suites,Hotel A,positive
very nice place,Hotel A,positive
 serene environment,Hotel A,positive
 good music,Hotel A,positive
a very nice hotel,Hotel A,positive
 had a swell time at the lounge,Hotel A,neutral
i love the pool side bar,Hotel A,positive
 great meals served,Hotel A,positive
the best sunday ever my lunch at eko hotels and suits was awesome delicious meals were serve there a better place to be in lagos love it,Hotel A,positive
"very nice staying there, the buffet's nice,  room nice and when you go with the hotel soap, they replace it!!i would love to recommend this hotel to anyone",Hotel A,positive
pretty cool,Hotel A,positive
 the outer walls could do with new paint though,Hotel A,neutral
" but by & by, great place to visit",Hotel A,positive
very lovely place and i really enjoyed my staying ,Hotel A,positive
 ❤,Hotel A,positive
"everything needed was within reach, quite courteous staff",Hotel A,positive
if you are looking for world class comfort and resort centre eko hotel and suite is number 1,Hotel A,positive
 trust me they are up to the task consistently,Hotel A,positive
one of the best hotels in lagos and nigeria at large,Hotel A,positive
" warm reception, beautiful rooms, clean environment and their food is delicious",Hotel A,positive
a very classy place with all sorts of activities to partake in,Hotel A,positive
 intercontinental dishes at its best,Hotel A,positive
 it's a great place,Hotel A,positive
a 5 star hotel in nigeria! wonderful relaxation center! wonderful space for business seminars and visit too!,Hotel A,positive
the view through the windows were fantastic!,Hotel A,positive
"it's a beautiful place to visit, i really like it there rooms and services are perfect",Hotel A,positive
who don't love luxury? it's simply elegant and exquisite,Hotel A,negative
"good environment and the wonderful ambience,also a playground which you can bring your children to have fun",Hotel A,positive
great place to unwind alone or with your family,Hotel A,positive
 tasty cuisine too,Hotel A,neutral
"great ambiance, friendly staff, cozy environment",Hotel A,positive
 classy too,Hotel A,positive
i've never lodged here but i can say they have excellent facilities for hosting concerts and shows,Hotel A,positive
 i've attended a couple and i had a great time,Hotel A,positive
nice place to visit,Hotel A,positive
great lunch,Hotel A,positive
you can get a five star room service,Hotel A,neutral
" the hotel also has a pool, bar, club and restaurant",Hotel A,neutral
 it's perfect for a vacation in nigeria,Hotel A,positive
was there for an award ceremony,Hotel A,positive
 good ambience and great place,Hotel A,positive
 good for corporate and house events,Hotel A,positive
"staffs very courteous, ample parking, nice and neat environment",Hotel A,positive
 but it is a very busy hotel,Hotel A,neutral
 very very busy,Hotel A,neutral
 food too is quite good,Hotel A,positive
big hotels like this shouldn’t have terrible facility management,Hotel A,negative
 some parts of the ceiling in the conference area is rotting!,Hotel A,neutral
such a beautiful place,Hotel A,positive
the event centre is top notch and they have quality and experienced staff,Hotel A,positive
i like the eko suites,Hotel A,positive
 definitely more modern and better kept,Hotel A,positive
 the sky lounge has amazing views of lagos,Hotel A,positive
nice ambience to take good images for fashion entrepreneurs looking to stay there for an event ,Hotel A,positive
hotel services is 4/5,Hotel A,neutral
"great place to stay, expanding facilities, great meals, restaurants and right in the middle of vi but away from the stress",Hotel A,positive
very okay,Hotel A,positive
 the security there are very tight,Hotel A,positive
" 24hrs power supply, complimentary breakfast, swimming pool, club and extremely hygienic environment",Hotel A,positive
the hotel while expensive was worth every penny,Hotel A,positive
 the service is timely and i was aesthetically pleased by their menu's,Hotel A,positive
"perfect for hosting and attending events, totally delicious buffet servings",Hotel A,positive
 you should go experience hospitality at its best,Hotel A,positive
"always a delight to visit eko hotels, service delivery is usually very professional",Hotel A,positive
 security has improved reducing the possibility of theft,Hotel A,positive
it's very easy to identify,Hotel A,positive
 it's situated in such a conspicuous manner that it can be easily identified even for people who aren't based in lagos,Hotel A,positive
it's okay,Hotel A,positive
"nice and lovely,  like the scene of the ocean fronm the hotel,  best place to hang out with foreigners and local in same place",Hotel A,positive
 serenity  on the go,Hotel A,neutral
a five star hotel,Hotel A,neutral
" wheel chair access, clean rooms, gym, park, swimming pool, medical facility and great ambience",Hotel A,positive
very cozy hotel in the heart of lagos ,Hotel A,positive
 cool hangout spots in there,Hotel A,positive
"really amazing place good rooms greay room service and friendly staff, if you are looking for quality hotels consider this place",Hotel A,positive
i visited the pool and i had an amazing time,Hotel A,positive
 i would recommend you go in the evening,Hotel A,positive
 the ambience is amazing,Hotel A,positive
"best place to stay in lagos, nigeria",Hotel A,positive
 they have plenty of space and type of rooms in different buildings,Hotel A,neutral
 best is the open bar beside swimming pool,Hotel A,positive
one of the best and most busy in lagos,Hotel A,positive
 alot of parking space and well maintained overtime to keep its look,Hotel A,positive
we had a good time and my son totally enjoyed himself  the bed is good and i slept soundly 😁,Hotel A,positive
beautiful hotel,Hotel A,positive
 they are one of the best when it comes to managing events,Hotel A,positive
" easy to access, great food",Hotel A,positive
well organized and beautiful environment with too many halls for conferences and events,Hotel A,positive
 i attended the qfest in the asian hall,Hotel A,neutral
a relaxed and comfortable environment,Hotel A,positive
my room had a door leading to the adjoining room which later became a source of noise from the other room which was very disturbing,Hotel A,negative
it was a good experience as i used google maps to navigate the heavy traffic of victoria island,Hotel A,positive
attended a 3 day workshop,Hotel A,neutral
" the venue, facilities and services were excellent",Hotel A,positive
"beautiful, i'll recommend this place all day, everyday",Hotel A,positive
meticulous detail is evident in their hospitality,Hotel A,neutral
well it's a nice place but with low patronage maybe due to covid 19 pandemic,Hotel A,negative
"excellent facility, good customer service, nice first-class rooms, swimming pool, gym, and events hall",Hotel A,positive
wow! a lovely place to be,Hotel A,positive
 serene atmosphere with touch of  world class entertainment and best of hospitality services,Hotel A,positive
eko hotel is a 5star hotel,Hotel A,neutral
 has a hall of about  capacity,Hotel A,neutral
 it's one of the best hotels in nigeria,Hotel A,positive
 major shows and events holds at this hotel,Hotel A,neutral
it's a place for all to be,Hotel A,neutral
i had a meeting there and lunch there and i have no regrets,Hotel A,positive
it's a major hotel that mega event for big concert in africa,Hotel A,neutral
a nice place but expect to see lots of people,Hotel A,positive
 their buffet is nice and lots of shows and events happen here on the weekends,Hotel A,positive
"regular spot i visit and as always, impeccable service",Hotel A,neutral
"service from the staff here is amazing, great car parking arrangement and well serviced rooms & event halls",Hotel A,positive
arguably the largest hotel in lagos right in the heart of victoria island stretching to the seashore and a stone throw from eko atlantic city,Hotel A,positive
 excellent services,Hotel A,positive
"good ambiance however terrible service, their staff need to go through form of training on hospitality",Hotel A,negative
 it's that terrible for a hotel with such a beautiful structure and ambience,Hotel A,positive
"great hospitality, facility and delicious food",Hotel A,positive
"good hotel, but a bit too busy",Hotel A,positive
 too many things going on at the same time,Hotel A,neutral
 not the hotel for you as a tourist who wants to relax,Hotel A,positive
awesome place for your events and  relaxation,Hotel A,positive
they have been around for years but have grown with the times,Hotel A,neutral
 very high standard hotel,Hotel A,neutral
 has everything you are looking for in a hotel,Hotel A,neutral
eko hotel is a renowned place with a good name,Hotel A,positive
"they have big and spacious car parks but nice and expensive rooms,they also sell intercontinental dishes,they have spacious halls for event and shows",Hotel A,positive
"beautiful rooms, great service and absolutely delicious food",Hotel A,positive
 arguably more affordable than similar hotels in ghana,Hotel A,negative
it's was fun been available there,Hotel A,positive
good restaurant but pool side lot of flys and it will disturb on dining table,Hotel A,negative
crossroads was fun on wednesday,Hotel A,positive
 life band very interactive and good music,Hotel A,positive
 dj was good for a wednesday outing,Hotel A,positive
great ambiance,Hotel A,positive
 awesome service delivery,Hotel A,positive
it's a beautiful environment for all kinds of people,Hotel A,positive
 quality structures and professionally trained staff,Hotel A,neutral
awesome experience,Hotel A,positive
 the ambiance was so neat,Hotel A,positive
"one of the most popular and most reviewed hotel in lagos, nigeria",Hotel A,positive
 popularly known to be a home for tourist,Hotel A,positive
" with well furnished lodging rooms, events halls and restaurant, eko hotel is a must visit in lagos",Hotel A,positive
i was asked to pay a ridiculous amount for parking at the exit,Hotel A,negative
nice place to sit out and meet,Hotel A,positive
it is one of the best places to be in lagos,Hotel A,positive
had a peaceful stay,Hotel A,positive
 good hospitality and atmosphere,Hotel A,positive
nice and professional,Hotel A,positive
amazing place,Hotel A,positive
 request to get a view of the surrounding waters!,Hotel A,neutral
awesome place,Hotel A,positive
 very organized,Hotel A,neutral
beautiful and very comfortable,Hotel A,positive
 food is amazing and the gym is top notch! just fantastic in anyway,Hotel A,positive
renovations have contributed to breathing life back into the iconic buildings,Hotel A,neutral
 good ambience,Hotel A,positive
no maximum security enough and they  only have access control for vehicular security not prepare for any organized crime very important to always vigilant,Hotel A,negative
"great place to be, excellent food and super hospitable staff",Hotel A,positive
 world class swimming pool to go with it!,Hotel A,neutral
nice place but no proper coordination for parking during major events,Hotel A,negative
 they need to hire parking assistants who will coordinate and parking,Hotel A,neutral
best hotel food in lagos,Hotel A,positive
 they definitely have amazing chefs,Hotel A,positive
 beautiful environment,Hotel A,positive
great business hotel to stay in the heart of victoria island land,Hotel A,positive
 fantastic rooms depending on your budget,Hotel A,positive
 great food and very serene and beautiful environment,Hotel A,positive
it's 5 star hotel the best leading hotel in west africa,Hotel A,positive
one of the oldest hotels that has sustained its exquisite nature,Hotel A,neutral
 with the best of surroundings i,Hotel A,positive
e beautiful trees & flowers located at the heart of victoria island lagos,Hotel A,positive
"eko hotel and suites is one of the best hotels in lagos, it's a very cozy place to lodge and have a great event in trust me the have a very jovial staffing and a great experience in general",Hotel A,positive
everything about it is just perfect 😄,Hotel A,positive
"usually crowdy when functions are scheduled here, but splendid on other days",Hotel A,positive
 rooms are cozy,Hotel A,neutral
eko hotel is a lovely place to spend vacation and it has a lovely restaurant by the pool sidealso it has another bar/restaurant inside the building,Hotel A,positive
nice hotelglo battle of the year was awesome,Hotel A,positive
"i was there for an event, the hall was big and suitable but i think they need better maintenance",Hotel A,positive
great place of things,Hotel A,positive
went for a buffet and there was no cutlery on the table,Hotel A,negative
 wait time was bad 👎,Hotel A,negative
the iko hotel is one of the best 5star in nigeria and africa as a all in term of convinced hall and the signature is number one in loging  beutification of interior and quick attending a guest in time with out delay,Hotel A,positive
loved the layout and scenery,Hotel A,positive
 went to check out the sky bar and its the views for me,Hotel A,neutral
"eko hotel & suites is a 5-star ultra luxurious hotel standing elegantly in victoria island, lagos",Hotel A,positive
 it is built on the exclusive victoria island and blends natural beauty and architectural aesthetics in the most astonishing manner,Hotel A,positive
 it's spread over three buildings with spectacular views of the atlantic ocean and the kuramo lagoon,Hotel A,neutral
"eko hotel & suites boasts 824 awe-inspiring rooms across its 4 hotel subdivisions which are: eko signature, eko gardens, eko hotel and eko suites",Hotel A,neutral
" the eko signature has room categories, such as club suite, premium suite, signature suite and presidential suite",Hotel A,neutral
 the eko gardens is categorised into standard room and classic room,Hotel A,neutral
" the eko suites has room categorised into deluxe, studio suite and executive suite",Hotel A,neutral
" and lastly, the eko hotel, with 448 rooms, is categorised into classic suite, classic superior room, atlantic superior room, diplomatic suite and presidential suite superior room",Hotel A,positive
 they are all adorned with a breathtaking interior decor and grand facilities,Hotel A,positive
" the room awesome amenities in the rooms include: luxurious double and single beds, intercom system, armchairs, sofas and centre tables, air-conditioners, work desks and chairs, wireless internet accessibility, flat-screen television sets with local and international channels, refrigerators and en-suite bathrooms with state-of-the-art bathroom facilities",Hotel A,positive
"eko hotel lagos also offers a wide range of world-class hotel services, such as: state-of-the-art meeting rooms, outdoor pool with surrounding sit out, fitness centre complimented by a well-equipped gym, event halls, an array of restaurants that offer mouth-watering dishes from different parts of the world, bar/lounge fitted with choice drinks, top-notch security arrangement, ample parking space, uninterrupted power supply, conference and banquet facilities plus a large convention center",Hotel A,positive
