sentence,hotel_name,Sentiment,review_topic
 definitely won’t be staying there again though,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
not bad but the it sounds and hall sharing schedule is not the best,Eko Hotel,neutral,Leisure and Relaxation
 they tend to rotate halls,Eko Hotel,neutral,Event and Conference Spaces
"the rooms are nice, comfy and big but the restaurant/pool customer service needs improvement",Eko Hotel,positive,Room Quality and Standards
 also the restrooms around the meeting halls need maintenance,Eko Hotel,neutral,Event and Conference Spaces
"cool cousins, nice staff and great location",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
5 star hotel of top quality in lagos,Eko Hotel,positive,Excellent Service and Hospitality
the place was awesome and i can't forget the way the whole corridor was designed with flowers and looking down on big flower pots and water fall was mueeeh,Eko Hotel,positive,Room Quality and Standards
one of the beat hotels in lagos,Eko Hotel,neutral,Leisure and Relaxation
" situated at victoria island, the hotel complex is fully kitted with a full compliment of modern facilities, several restaurants, swimming pool and a huge number of rooms in multiple buildings",Eko Hotel,positive,Event and Conference Spaces
i am giving it 4 star because i've never been there in my life before beaumont if i get i'll give it 5 star,Eko Hotel,positive,Leisure and Relaxation
"nice environment, security tight but expensive parking lot",Eko Hotel,positive,Event and Conference Spaces
"a 5 star hotel with convention center, enough parking space",Eko Hotel,neutral,Event and Conference Spaces
 but they charge for parking after 10 minutes grace period,Eko Hotel,positive,Leisure and Relaxation
lovely experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
no issues,Eko Hotel,negative,Room Quality and Standards
 always a great place to visit for me,Eko Hotel,positive,Leisure and Relaxation
ambiance is very nice,Eko Hotel,positive,Delightful Food and Home-like Feel
i love the views from the top of the building and a very good place to relax and enjoy,Eko Hotel,positive,Beautiful Views and Dining Experiences
"it's a couple of hotels spread over a huge area at the heart of vi, insanely expensive and only certain members of society can remotely imagine to ever being accommodated here",Eko Hotel,positive,Event and Conference Spaces
awesome food,Eko Hotel,positive,Delightful Food and Home-like Feel
without mincing words eko hotel and suites is the best and highest place of comfortablity,Eko Hotel,positive,Leisure and Relaxation
it was actually wonderful experience,Eko Hotel,positive,Delightful Food and Home-like Feel
 the atmosphere was fantastic and good for relaxation,Eko Hotel,positive,Excellent Service and Hospitality
 i rate the environment 90%,Eko Hotel,neutral,Serene Environment
"nice vibe at nite, busy with good crowd",Eko Hotel,positive,Event and Conference Spaces
i love this place especially the sunday buffet and live music,Eko Hotel,positive,Delightful Food and Home-like Feel
" nice views , lots if parking space, nice vibes",Eko Hotel,positive,Event and Conference Spaces
 would visit and visit,Eko Hotel,neutral,Leisure and Relaxation
the ambience & location was top notchthe food complimented the environmentservice was goodhad a nice time with family,Eko Hotel,positive,Leisure and Relaxation
had a refreshing experience,Eko Hotel,neutral,Beautiful Views and Dining Experiences
 great scenery,Eko Hotel,positive,Beautiful Views and Dining Experiences
it was a good experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the environment was supper,Eko Hotel,neutral,Serene Environment
can't go wrong with the location and the view from the 11th floor and terrace is 👌🏾,Eko Hotel,positive,Beautiful Views and Dining Experiences
they offer the best in humanitarian services 🤗 top notch services 🤗 🤗 i like,Eko Hotel,positive,Excellent Service and Hospitality
"one of the most popular hotels in lagos, nigeria",Eko Hotel,positive,Serene Environment
 it has different classes of rooms ranging from standard to ambassadorial suites,Eko Hotel,neutral,Room Quality and Standards
 it is a place where luxury has been nested harmoniously with simplicity,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
the atmosphere is relaxed and quiet and the service is smooth and professional,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 a great place to stay for pleasure or business,Eko Hotel,positive,Serene Environment
"eko hotels and suites is a five-star conference centre hotel in lagos standing elegantly at  adetokunbo ademola street, victoria island, lagos",Eko Hotel,positive,Event and Conference Spaces
 eko hotel lagos overlooks the kuramo lake and the atlantic ocean in the heart of victoria island,Eko Hotel,positive,Serene Environment
 the rooms & suites are all tastefully decorated and provided with every modern amenity for your comfort and relaxation,Eko Hotel,positive,Room Quality and Standards
it was nothing short of a 5star service,Eko Hotel,neutral,Excellent Service and Hospitality
just as i had expected it to be world class,Eko Hotel,neutral,Excellent Service and Hospitality
great hotel,Eko Hotel,positive,Serene Environment
 best convention center in lagos,Eko Hotel,positive,Serene Environment
 nicely designed hotel rooms and apartments,Eko Hotel,positive,Room Quality and Standards
" the suites, hotel rooms and apartments are all modern contemporary style",Eko Hotel,neutral,Room Quality and Standards
 ☺️🏨🏨👍👍👍,Eko Hotel,positive,Serene Environment
excellent hotel with ample parking: but it turns into a nightmare after a large event and it's time to leave! i'm talking 20+ minutes trying to exit the compound,Eko Hotel,positive,Event and Conference Spaces
one of the most popular hotels and events venue in lagos,Eko Hotel,positive,Event and Conference Spaces
" it's a luxury class hotel, situated on victoria island by the atlantic sea shores",Eko Hotel,neutral,Serene Environment
 good sea side views is an attraction,Eko Hotel,positive,Beautiful Views and Dining Experiences
" the open bar, restaurant and grill by the pool side is one place you can meet with your hommies for a catch up or unwind time out",Eko Hotel,neutral,Beautiful Views and Dining Experiences
popular for its multiple conference halls that host many of the high profile social events in lagos,Eko Hotel,positive,Event and Conference Spaces
" multiple car parking provision but, are often inadequate during peak event hours",Eko Hotel,negative,Event and Conference Spaces
"from entrance to exit, there are obvious multiple security measures in place",Eko Hotel,positive,Excellent Service and Hospitality
 the residential suites are located in a number of high rise buildings in the compound,Eko Hotel,positive,Event and Conference Spaces
"indeed, eko hotel & suites is a choicy place for locals and foreigners",Eko Hotel,neutral,Serene Environment
 there will be multiple options on your table for whatever you wish to do or enjoy,Eko Hotel,positive,Leisure and Relaxation
!,Eko Hotel,neutral,Serene Environment
nice and cool environment,Eko Hotel,positive,Serene Environment
"  a good place to enjoy cool evening breeze, near the pool and also ocean view",Eko Hotel,positive,Beautiful Views and Dining Experiences
"it was full of fun i enjoyed myself, the comedians really did a great job making us happy",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"well my experience today was a great one,  first time i tasted chinese food which was delicious and the view from the restaurant was splendid",Eko Hotel,positive,Beautiful Views and Dining Experiences
 can't waste to go back,Eko Hotel,positive,Event and Conference Spaces
it's obviously a 5 star hotel what are you coming to do in the ratings section,Eko Hotel,neutral,Serene Environment
 go there and enjoy your stay,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"i recently stayed at the eko hotels and suites, victoria island, lagos",Eko Hotel,neutral,Event and Conference Spaces
 my stay was for business,Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
 the service was excellent and the staff friendly,Eko Hotel,positive,Excellent Service and Hospitality
 will definitely return,Eko Hotel,positive,Leisure and Relaxation
"courteous staff, easily accessible, theirs always an upgrade regularly to make every visit worthwhile, clean, secured and always on time to deliver",Eko Hotel,positive,Serene Environment
 especially mr brian,Eko Hotel,neutral,Beautiful Views and Dining Experiences
"awesome place to rest, relax and for executive  business meetings",Eko Hotel,positive,Serene Environment
one of the best in nigeria,Eko Hotel,positive,Serene Environment
 the only thing preventing a five star rating is the fact that it's located in nigeria,Eko Hotel,neutral,Serene Environment
"good, ambient",Eko Hotel,positive,Event and Conference Spaces
" friendly workers, nice meal",Eko Hotel,positive,Excellent Service and Hospitality
this is the best hotel i have ever visited,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 the environment is large with various sections,Eko Hotel,neutral,Event and Conference Spaces
 their restaurant is great,Eko Hotel,positive,Beautiful Views and Dining Experiences
"every time i'm here,  always feels like i'm home",Eko Hotel,positive,Delightful Food and Home-like Feel
"great meals, courteous staff, properly maintained and high standards kept over the years",Eko Hotel,positive,Room Quality and Standards
everywhere is excellent 💋,Eko Hotel,positive,Excellent Service and Hospitality
i had a great time having my meeting in one of the several meeting rooms and had a great lunch at the restaurant with varieties at the buffet table,Eko Hotel,positive,Room Quality and Standards
"stayed at3the old building, lets just say it's showing it's age",Eko Hotel,neutral,Leisure and Relaxation
" otherwise,  interesting with vibrant atmosphere especially around the lobby area",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
eko hotel is the best in town to turn to in the hospitality businesses in nigeria at large,Eko Hotel,positive,Serene Environment
rooms are top notch,Eko Hotel,positive,Room Quality and Standards
 location is very accessible to almost anywhere on the island,Eko Hotel,neutral,Serene Environment
situated on the island in lagos,Eko Hotel,neutral,Serene Environment
 it is a big hotel with standard facilities,Eko Hotel,neutral,Excellent Service and Hospitality
" the multi purpose hall, seem to be widely used for events, conferences and so on",Eko Hotel,neutral,Event and Conference Spaces
i loved my visit to this place! the serenity of it omg no words,Eko Hotel,positive,Leisure and Relaxation
i had lunch from the appiterizer to the finishing course which is the dessert😋 again no words,Eko Hotel,negative,Delightful Food and Home-like Feel
worth every penny,Eko Hotel,positive,Leisure and Relaxation
the eko suites is away from the main building/ hotel,Eko Hotel,neutral,Room Quality and Standards
 its more private and not busy at all,Eko Hotel,neutral,Serene Environment
 a very peaceful ambience,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 the staffs are very friendly,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"eko hotel & suites is a world class hospitality located on number  adetokunbo adenola street, victoria island,  lagos state, nigeria",Eko Hotel,positive,Excellent Service and Hospitality
" this is 5 star hotel by all standard,  it is built on an expanse land stretching to wards the newly constructed eko atlantic city, bar beach",Eko Hotel,neutral,Beautiful Views and Dining Experiences
it is a cozy environment that plays host to wealthy people across africa ,Eko Hotel,positive,Event and Conference Spaces
" they have world class sporting facilities, aerobics, swimming pool, bureaux de change shops, artifacts shops, laundry services, out door bar, continental foods,  5,000 capacity event hall ",Eko Hotel,neutral,Excellent Service and Hospitality
 there is another balmoral event hall located inside the complex of the hotel,Eko Hotel,neutral,Event and Conference Spaces
  there is no problem with their car park,Eko Hotel,positive,Event and Conference Spaces
have just been here  once  but i do really  love the place i just kind of wish to be here at all time because  it's a beautiful place,Eko Hotel,positive,Leisure and Relaxation
"nice hotel, always busy, ample parking, traffic prone area though",Eko Hotel,positive,Serene Environment
" nice rooms, beach views available, children's playground and swimming pool, lots more",Eko Hotel,positive,Event and Conference Spaces
hotel of course is a five style hotel and well known brand in nigeria,Eko Hotel,positive,Excellent Service and Hospitality
service in the hotel is second to none,Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
"the hotel offers both local and international cuisines,impeccable staff with eye for perfection",Eko Hotel,positive,Delightful Food and Home-like Feel
its a place to visit,Eko Hotel,neutral,Leisure and Relaxation
one of the best hotels in nigeria that has been able to maintain standard over years,Eko Hotel,positive,Room Quality and Standards
 a home away from home,Eko Hotel,neutral,Delightful Food and Home-like Feel
 visit eko hotels & suites today and you will be glad to be there,Eko Hotel,positive,Leisure and Relaxation
very each to use google map its helps a lot that's why i make use of it to get to my location easily i will advise people to make use of it,Eko Hotel,positive,Event and Conference Spaces
very solid beautiful place to visit & there is a classic classic even center,Eko Hotel,positive,Beautiful Views and Dining Experiences
 an you knw the place have good secure with an intelligence officers,Eko Hotel,positive,Serene Environment
 come an see it yourself,Eko Hotel,neutral,Leisure and Relaxation
"eko hotels and suites is a five star hotel situated in the heart of victoria island, lagos",Eko Hotel,positive,Serene Environment
 it is about the most patronized hotel in nigeria,Eko Hotel,neutral,Event and Conference Spaces
 this is so because of its location,Eko Hotel,neutral,Serene Environment
most notable is the patronage of its convention centers by popular artistes/ comedians in the country for shows and concerts,Eko Hotel,positive,Event and Conference Spaces
"cool and serene environment, very friendly staff giving visitors five star treatment",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
simply the best for your large events and relaxation,Eko Hotel,positive,Event and Conference Spaces
the hotel still maintains it old sparkles,Eko Hotel,positive,Room Quality and Standards
 nice place to stay or hold business meetings,Eko Hotel,positive,Event and Conference Spaces
arguably one of the best hotels in lagos,Eko Hotel,positive,Serene Environment
" your are spoilt for choice on about seven restaurants including , red, sky, crossroads, lagoon breeze, calabash (bar), steakhouse the grill, sports cafe etc",Eko Hotel,neutral,Beautiful Views and Dining Experiences
 a massive and inviting swimming pool etc,Eko Hotel,positive,Event and Conference Spaces
 not to mention the massive eko convention ekpo hall,Eko Hotel,neutral,Event and Conference Spaces
 this is a great hotel!,Eko Hotel,positive,Serene Environment
"eko hotel & suites is a 5-star ultra luxurious hotel standing wonderfully at  victoria island, lagos",Eko Hotel,positive,Serene Environment
"they have a five start restaurantthey have one of the best view,tight securityeko hotel is wheel chair accessiblethey have a safe and nice parking garagethey offer corporate clients and walk in guests a perfect blend of relaxation, activities, and african tradition delicately infused to meet the highest international standards",Eko Hotel,positive,Serene Environment
"conducive, affordable and accessible hotel",Eko Hotel,neutral,Excellent Service and Hospitality
 maximum covid 19 precautions observed,Eko Hotel,neutral,Excellent Service and Hospitality
nice place to stay,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"i loved the rooms, variety at the restaurants, playground for kids etc",Eko Hotel,positive,Event and Conference Spaces
"quite disappointing, compared with the buzz around the name",Eko Hotel,negative,Delightful Food and Home-like Feel
" room service quality is very poor, shows service neglect and lack of supervision /inspections",Eko Hotel,negative,Excellent Service and Hospitality
eli hotels has been in the hospitality business for some time and it's been able to sustain the tempo,Eko Hotel,neutral,Excellent Service and Hospitality
 eko hotels is always innovating for better customer experience,Eko Hotel,positive,Excellent Service and Hospitality
lovely environment and gate security but what i'm a bit worried about is their in-house security as there were few cameras around and seems to me like pseudo guests (harmful maybe) can loiter around without any form of caution,Eko Hotel,positive,Excellent Service and Hospitality
"i stay in eko signature and enjoy, i can't talk about other apartments, regardless, i love the place, the pool and crossroads tex-mex restaurant and want come back to try all that hotel can offer",Eko Hotel,positive,Leisure and Relaxation
"very cool place for relaxation, although their foods and drinks are great and expensive too",Eko Hotel,positive,Delightful Food and Home-like Feel
 the swimming pool and the garden also are lovely,Eko Hotel,positive,Beautiful Views and Dining Experiences
amazing place to be,Eko Hotel,positive,Serene Environment
 the experience here is wow right from the security guys at the entrance to the ones at the exit point,Eko Hotel,positive,Excellent Service and Hospitality
 virtually all the staffs are willing to help you,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"nice hotel, one of the best in lagos",Eko Hotel,positive,Serene Environment
" many specialized restaurants: western, texmex, american, chinese, indian, middle east, etc ",Eko Hotel,neutral,Beautiful Views and Dining Experiences
 the room is clean and overall services are good,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
beautiful place,Eko Hotel,positive,Beautiful Views and Dining Experiences
the christmas decors and outdoor pool arena were amazing 👏,Eko Hotel,positive,Beautiful Views and Dining Experiences
it's a really cool place to be,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
" i went there for a concert; the security, the hall, food everything was top notch",Eko Hotel,positive,Event and Conference Spaces
eko garden suite if you aren't staying in signature may work better,Eko Hotel,positive,Room Quality and Standards
 some of the rooms seem newly renovated so it had a bright clean feel to it,Eko Hotel,positive,Room Quality and Standards
been here for 4 weeks its warm reception and superb service,Eko Hotel,positive,Excellent Service and Hospitality
by now everyone knows eko hotel means business and its not just hype so,Eko Hotel,neutral,Leisure and Relaxation
", if you ever have their kind of money, stay a night",Eko Hotel,neutral,Leisure and Relaxation
 absolutely beautiful place,Eko Hotel,positive,Beautiful Views and Dining Experiences
signature lagos hotel,Eko Hotel,neutral,Room Quality and Standards
 property has a lovely but expensive rooftop restaurant with stunning views of the city and the waterside,Eko Hotel,positive,Beautiful Views and Dining Experiences
 great conference venue as well,Eko Hotel,positive,Event and Conference Spaces
"beautiful scenery, great ambience, beautiful decor, large beautiful suites, well mannered staff, excellent service, great food, safe and secure environment",Eko Hotel,positive,Beautiful Views and Dining Experiences
it's a wonderful place with beautiful views,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the meal was delicious,Eko Hotel,positive,Serene Environment
 the halls are big and well lit,Eko Hotel,positive,Event and Conference Spaces
eko hotel is a nice & serene place but need to embrace sustainable practices,Eko Hotel,positive,Room Quality and Standards
 also seen mosquitoes flying around the conference hall and flies at the dining isn't acceptable,Eko Hotel,negative,Event and Conference Spaces
"the best place to host events, might not be my first choice to sleepover at, but their event center is nice",Eko Hotel,positive,Event and Conference Spaces
"nice place, nice buffet but could be better if there are more meal varieties",Eko Hotel,positive,Delightful Food and Home-like Feel
it's maintained high standards over the years,Eko Hotel,neutral,Room Quality and Standards
"  the hotel is still one of the best, most sought out, and booked for events till today",Eko Hotel,positive,Room Quality and Standards
eko hotel in lagos nigeria is most happening place,Eko Hotel,neutral,Event and Conference Spaces
 the sunday buffet is brilliant and worth eating,Eko Hotel,positive,Leisure and Relaxation
 the bar counter in front of swimming pool is really relaxing,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the rooms in original old towers are spacecious but furniture are poor quality and wash rooms badly need renovations,Eko Hotel,negative,Room Quality and Standards
" however, if i have to choose a place to live, it will be eco hotel",Eko Hotel,neutral,Delightful Food and Home-like Feel
i like eko hotels n suites because of its proximity with everything that is lagos,Eko Hotel,positive,Serene Environment
" at eko hotels you can have or do anything you wanna have or do in lagos, it may cost higher but the marginal comfort relative to other lagos hotels could be great",Eko Hotel,positive,Leisure and Relaxation
 topnotch location,Eko Hotel,neutral,Serene Environment
" room was neat, good gym and pool",Eko Hotel,positive,Room Quality and Standards
" breakfast buffet excellent, a lot is going on in this place (bars, restaraunts, clubs, concerts",Eko Hotel,positive,Event and Conference Spaces
"), nice outdoor area, very safe - you can walk around, internet is ok but sometimes a bit slow",Eko Hotel,positive,Excellent Service and Hospitality
it's a cool relax centre to be,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"organized, smart guys at the reception for easy direction",Eko Hotel,positive,Room Quality and Standards
 comfortable conference halls,Eko Hotel,positive,Event and Conference Spaces
 car park a bit tight to maneuver when leaving,Eko Hotel,neutral,Excellent Service and Hospitality
cool and calm good security and hospitable,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"as always, excellent service, top notch gym facility, superb view and ambience",Eko Hotel,positive,Excellent Service and Hospitality
" but the pricing though, definitely for the elite",Eko Hotel,positive,Leisure and Relaxation
"lovely place, sereen environment, good food,  good hospitality",Eko Hotel,positive,Excellent Service and Hospitality
 home away from home,Eko Hotel,neutral,Delightful Food and Home-like Feel
 i strongly recommend it to anyone,Eko Hotel,positive,Serene Environment
"i love it!!!! serene, clean environment, very tourist friendly, polite staff etc",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
again the night life and buffet is very nice,Eko Hotel,positive,Delightful Food and Home-like Feel
the parking arrangement is excellent,Eko Hotel,positive,Excellent Service and Hospitality
 the set up makes it so convenient for you if you're driving to the premises,Eko Hotel,neutral,Delightful Food and Home-like Feel
2bd time of coming here for a corporate dinner,Eko Hotel,neutral,Leisure and Relaxation
" good venue, but the meal is not great",Eko Hotel,negative,Event and Conference Spaces
 eko hotels can do better on that,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"such a lovely place, very friendly and efficient staff",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 the room was neat and beautiful and everything actually works,Eko Hotel,positive,Room Quality and Standards
good place to leave,Eko Hotel,positive,Leisure and Relaxation
the signature has unique and couture designs and fittings,Eko Hotel,neutral,Room Quality and Standards
 the barbeque night on fridays is worth a visit; lots of food and a complimentary drink,Eko Hotel,positive,Leisure and Relaxation
it's ok,Eko Hotel,positive,Serene Environment
 i'm comfortable going for work-related events there cos the restrooms are constantly cleaned,Eko Hotel,positive,Event and Conference Spaces
nice and tasteful,Eko Hotel,positive,Serene Environment
courteous and professional services too,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
navigation to (and around) the facilities can be daunting though,Eko Hotel,neutral,Excellent Service and Hospitality
great event center,Eko Hotel,positive,Event and Conference Spaces
still as beautiful and as clean as ever,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 ever  serene environment,Eko Hotel,positive,Serene Environment
 courteous staff,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
"great atmosphere, had difficulty using the elevator, wasn't easy moving arround as i had to keep asking plus food in the red (chinese) restaurant could have been better",Eko Hotel,positive,Room Quality and Standards
"eko hotel and suite is a well rated hotel on lagos island , it has different multi purpose halls which can host events such as weddings, shows, seminars etc",Eko Hotel,positive,Event and Conference Spaces
" eko hotel and suite is an exotic hotel with a bar, swimming pool, massive car park, space, restaurants, lounge etc",Eko Hotel,neutral,Beautiful Views and Dining Experiences
"their rooms are spacious , clean with good facilities to cater for guest",Eko Hotel,positive,Room Quality and Standards
 the rooms compromises of smaller rooms to presidential suites etc,Eko Hotel,neutral,Room Quality and Standards
"had dinner with some friends at the red chinese restaurant - beautiful ambiance, lovely meals, and enjoyed great service",Eko Hotel,positive,Beautiful Views and Dining Experiences
oneof the best 5 star hotels in nigeria,Eko Hotel,positive,Serene Environment
 it has held several top class event and it's still one of the best till date,Eko Hotel,positive,Event and Conference Spaces
awesome place,Eko Hotel,positive,Delightful Food and Home-like Feel
 everything was beautiful,Eko Hotel,positive,Beautiful Views and Dining Experiences
 had a wonderful time,Eko Hotel,positive,Leisure and Relaxation
"obviously set up as a luxurious spot for relaxation, business and a list gatherings or events",Eko Hotel,positive,Serene Environment
 attentive staff and great food,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
only wish the rooms were cheaper!!!,Eko Hotel,positive,Leisure and Relaxation
"it has the best event facility, good accommodation,and exquisite customer care",Eko Hotel,positive,Excellent Service and Hospitality
 wonderful place to be for a vacation,Eko Hotel,positive,Delightful Food and Home-like Feel
enjoyed my stay at the new eko garden this time aroundeko hotel for me is still the place to beat,Eko Hotel,positive,Leisure and Relaxation
 first class experience all day,Eko Hotel,neutral,Leisure and Relaxation
truly hospitable,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
good and delicious food: both local and continental!choice environment,Eko Hotel,positive,Serene Environment
!,Eko Hotel,neutral,Serene Environment
"one of the biggest spaces, if not the biggest space, to have an event",Eko Hotel,neutral,Event and Conference Spaces
l with over 10k capacity,Eko Hotel,positive,Event and Conference Spaces
it's one of the best hotel i have ever been to,Eko Hotel,positive,Serene Environment
 lots of parking space,Eko Hotel,neutral,Event and Conference Spaces
 the event hall is killing and the rooms are well equipped and organized,Eko Hotel,negative,Welcoming Staff and Comfortable Stay
attended the buffet meal offer at eko hotel,Eko Hotel,neutral,Delightful Food and Home-like Feel
 there was so many food and drink offer you won't be left without choice,Eko Hotel,neutral,Delightful Food and Home-like Feel
i wanted to book some other wing not the gardens,Eko Hotel,neutral,Leisure and Relaxation
" unfortunately, my secretary mixed it up, and i couldn't change when i got here",Eko Hotel,negative,Leisure and Relaxation
"it is an amazing place with lovely suites various intercontinental restaurants, event center, excellent parking space and a serene environment",Eko Hotel,positive,Event and Conference Spaces
eko hotel is highly over rated! it's divided into 3,Eko Hotel,neutral,Event and Conference Spaces
" the main block, signature and gardens",Eko Hotel,negative,Room Quality and Standards
" my brother was checked into the gardens and he had to change room four times!!! apparently, the signature is the newest block",Eko Hotel,negative,Room Quality and Standards
excellent location,Eko Hotel,positive,Excellent Service and Hospitality
" good food, of course not cheap but good quality overall",Eko Hotel,negative,Delightful Food and Home-like Feel
" good staff , nice location and ok ambience ",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
this is a very cozy place good for relaxation and events,Eko Hotel,positive,Event and Conference Spaces
the meals are great also the staff are well cultured,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
waow i loved every time spent there,Eko Hotel,positive,Leisure and Relaxation
their presidential suites is exquisite,Eko Hotel,neutral,Event and Conference Spaces
their service -perfect,Eko Hotel,positive,Excellent Service and Hospitality
the atmosphere- cool,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
calm and safe,Eko Hotel,positive,Delightful Food and Home-like Feel
eko hotels and suites brings you to the purest forms of comfort and class,Eko Hotel,positive,Leisure and Relaxation
 it's one place anyone in nigeria should desire to spend at least one night in,Eko Hotel,positive,Leisure and Relaxation
quite improved compared to last visit,Eko Hotel,positive,Leisure and Relaxation
 reception area always rowdy,Eko Hotel,neutral,Serene Environment
nice place and good ambiance,Eko Hotel,positive,Delightful Food and Home-like Feel
prompt attention to in-house service,Eko Hotel,neutral,Excellent Service and Hospitality
great space,Eko Hotel,positive,Event and Conference Spaces
" all you can eat buffet at just 10,000",Eko Hotel,neutral,Delightful Food and Home-like Feel
 price doesnt include drinks though,Eko Hotel,neutral,Delightful Food and Home-like Feel
"nice hotel, beautiful view, wonderful customer service",Eko Hotel,positive,Beautiful Views and Dining Experiences
but their food ain't it though,Eko Hotel,neutral,Excellent Service and Hospitality
had an ok sit out,Eko Hotel,positive,Beautiful Views and Dining Experiences
 sometimes live band is annoying,Eko Hotel,negative,Room Quality and Standards
 speakers could be better for the price of food and drinks,Eko Hotel,positive,Delightful Food and Home-like Feel
this place is a chique place for classes of personnel,Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
 it offers venues for events and occasions,Eko Hotel,neutral,Event and Conference Spaces
 good suites and large rooms can be found at eko hotels for richly-affordable prices,Eko Hotel,positive,Room Quality and Standards
"it's great to be here, good atmosphere, exquisite service",Eko Hotel,positive,Excellent Service and Hospitality
 it's really nice to be here,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 the food is world class,Eko Hotel,neutral,Excellent Service and Hospitality
"good ambient, lovely rooms, staffs needs to wait for customers to finish eating before carting everything away",Eko Hotel,positive,Beautiful Views and Dining Experiences
"nice room, great restaurants, spacious office spaces, convention center etc serene and beautiful",Eko Hotel,positive,Event and Conference Spaces
 one of the best hotels in nigeria,Eko Hotel,positive,Serene Environment
"nice environment, comfy banquet halls and good cuisine",Eko Hotel,positive,Event and Conference Spaces
 parking is a bit difficult but a good place to lodge or attend an event,Eko Hotel,positive,Leisure and Relaxation
this place is great,Eko Hotel,positive,Serene Environment
 believe if you are here or plan to be there you will get your worth and remember i said worth,Eko Hotel,positive,Leisure and Relaxation
 your pocket decide your experience here,Eko Hotel,neutral,Leisure and Relaxation
"quite a lovely place to be, great customer service and above all, the perfect place to host that jaw dropping event",Eko Hotel,positive,Excellent Service and Hospitality
"5star hotel, well organised, maintenance  so good ",Eko Hotel,positive,Welcoming Staff and Comfortable Stay
very neat,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
fantastic,Eko Hotel,positive,Excellent Service and Hospitality
wet ,Eko Hotel,neutral,Room Quality and Standards
 yummy 😋😋 ,Eko Hotel,positive,Delightful Food and Home-like Feel
 dope,Eko Hotel,neutral,Event and Conference Spaces
 unique and extraordinary hotels and suites,Eko Hotel,neutral,Serene Environment
available for all things hospitality,Eko Hotel,neutral,Room Quality and Standards
a place to relax and feel at home,Eko Hotel,positive,Delightful Food and Home-like Feel
i love it,Eko Hotel,positive,Event and Conference Spaces
loved it,Eko Hotel,positive,Event and Conference Spaces
" serene well kept, high standards",Eko Hotel,positive,Serene Environment
large hall that can seat thousands,Eko Hotel,neutral,Event and Conference Spaces
 was impressed,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
eko hotel maintains the same standard over the years,Eko Hotel,neutral,Room Quality and Standards
 the bar/ restaurant by the pool is serene and still one of my favourite places to relax at in the evenings,Eko Hotel,positive,Beautiful Views and Dining Experiences
awesome experience,Eko Hotel,positive,Beautiful Views and Dining Experiences
 ample parking space,Eko Hotel,neutral,Event and Conference Spaces
 courteous staff,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 good menu offering,Eko Hotel,positive,Delightful Food and Home-like Feel
 ample entertainment options,Eko Hotel,positive,Event and Conference Spaces
went to the sky lounge,Eko Hotel,neutral,Beautiful Views and Dining Experiences
 food and drinks and entertainment was very nice,Eko Hotel,positive,Delightful Food and Home-like Feel
a well organised and prestigious place,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
 well equipped and 24 hours electricity and maintenance,Eko Hotel,positive,Room Quality and Standards
had a really great experience there,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
it's an experience you can't resist,Eko Hotel,neutral,Beautiful Views and Dining Experiences
